"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"8837","ANA GABRIELA",NULL,"2118","4515330514-30",NULL,"7027","WEG_ITAJAI","6",NULL,NULL,"2024-03-08",NULL,"14263356-2","SUPORTE FAC SEC POS.2","10005395196","SIM","0","0"
"8838","ANA GABRIELA",NULL,"2117","4515330514-20",NULL,"7022","WEG_ITAJAI","6",NULL,NULL,"2024-03-08",NULL,"14274548","GARFO ARTICULADO SECCIONADORA","10005396135","SIM","0","0"
"8839","ANA GABRIELA","040/24","2117","4515330514-20",NULL,"7023","WEG_ITAJAI","6",NULL,NULL,"2024-03-08",NULL,"14274548-1","GARFO ARTICULADO SECCIONADORA POS.01","10005396135","SIM","0","0"
"8840","ANA GABRIELA",NULL,"2117","4515330514-20",NULL,"7024","WEG_ITAJAI","6",NULL,NULL,"2024-03-08",NULL,"14274548-2","GARFO ARTICULADO SECCIONADORA POS.02","10005396135","SIM","0","0"
"8841","ANA GABRIELA","035/24","2116","4515330514","10","7019","WEG_ITAJAI","12",NULL,NULL,"2024-03-08",NULL,"15511443","CALCO SUPERIOR PARA LB 145MM","10007692181","SIM","0","0"
"8842","ANA GABRIELA",NULL,"2116","4515330514-10",NULL,"7020","WEG_ITAJAI","12",NULL,NULL,"2024-03-08",NULL,"15511443-1","CALCO SUPERIOR PARA LB 145MM POS.1","10007692181 POS 1","SIM","0","0"
"8843","ANA GABRIELA",NULL,"216","4515330514-10",NULL,"7021","WEG_ITAJAI","24",NULL,NULL,"2024-03-08",NULL,"15511443-2","CALCO SUPERIOR PARA LB 145MM POS.2","10007692181 POS 2","SIM","0","0"
"8844","ANA GABRIELA","040/24","2134","4515242598-80",NULL,"7067","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15972293","PISTAO MOLA EQUILIBRIO","10008515045","SIM","0","0"
"8845","ANA GABRIELA","040/24","2137","4515242598-110",NULL,"7068","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15968687","PROTECAO ANTI-CORONA","10008507817","SIM","0","0"
"8846","ANA GABRIELA",NULL,"2138","4515242598-120",NULL,"7069","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976733","HASTE RESTRITOR ARCO MOVEL ACO INXO AISI","10008522268","SIM","0","0"
"8847","ANA GABRIELA","045/24","2139","4515242598-130",NULL,"7070","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976244","HASTE RESTRITOR ARCO FIXO ACO INXO AISI","10008521371","SIM","0","0"
"8848","ANA GABRIELA","035/24","2126","4515363010","10","7048","WEG_ITAJAI","1",NULL,NULL,"2024-03-01",NULL,"15029183","BARRA CONDUTORA TCL-230KV","10006847095","SIM","0","0"
"8849","ANA GABRIELA",NULL,"2126","4515363010-10",NULL,"7049","WEG_ITAJAI","1",NULL,NULL,"2024-03-01",NULL,"15029183-1","BARRA CAONDUTORA TCL-230KV POS.1","10006847029","SIM","0","0"
"8850","ANA GABRIELA",NULL,"2126","4515363010-10",NULL,"7050","WEG_ITAJAI","1",NULL,NULL,"2024-03-01",NULL,"15029183-2","BARRA CAONDUTORA TCL-230KV POS.2","10006847016","SIM","0","0"
"8851","ANA GABRIELA",NULL,"2126","4515363010-10",NULL,"7051","WEG_ITAJAI","1",NULL,NULL,"2024-03-01",NULL,"15029183-3","BARRA CAONDUTORA TCL-230KV POS.3","10006847001","SIM","0","0"
"8852","ANA GABRIELA","040/24","2124","4515296849-10",NULL,"7043","WEG_ITAJAI","1",NULL,NULL,"2024-03-08",NULL,"13833429","CONTATO FIX LA SUP 38KV 3.150A CHAPA AL","10004631699","SIM","0","0"
"8853","ANA GABRIELA",NULL,"2124","4515296849-10",NULL,"7044","WEG_ITAJAI","1",NULL,NULL,"2024-03-08",NULL,"13833429-1","CONTATO FIX LA SUP 38KV 3.150A CHAPA AL POS.1","10004630780","SIM","0","0"
"8854","ANA GABRIELA",NULL,"2124","4515296849-10",NULL,"7046","WEG_ITAJAI","1",NULL,NULL,"2024-03-08",NULL,"13833429-3","CONTATO FIXO LA SUP 38KV 3.150A CHAPA AL POS.3","10002646153","SIM","0","0"
"8855","ANA GABRIELA",NULL,"2124","4515296849-10",NULL,"7047","WEG_ITAJAI","1",NULL,NULL,"2024-03-08",NULL,"13833429-4","CONTATO FIXO LA SUP 38KV 3.150A CHAPA AL POS.4","10004510056","SIM","0","0"
"8856","ANA GABRIELA","045/24","2127","4515242598-10",NULL,"7052","WEG_ITAJAI","336",NULL,NULL,"2024-03-15",NULL,"16110881","MOLA 0X0X26-4,8MM","10008755474","SIM","0","0"
"8857","ANA GABRIELA","040/24","2128","4515242598-20",NULL,"7053","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15976730","SUPORTE FIXACAO SUPORTE P/SECCIONADOR 2","10008522198","SIM","0","0"
"8858","ANA GABRIELA","040/24","2129","4515242598-30",NULL,"7054","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976667","GARFO ARTICULACAO SECCIONADORA","10008522066","SIM","0","0"
"8859","ANA GABRIELA",NULL,"2129","4515242598-30",NULL,"7055","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976667-1","GARFO ARTICULADO SECCIONADORA POS.01","10008522066","SIM","0","0"
"8860","ANA GABRIELA",NULL,"2129","4515242598-30",NULL,"7056","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976667-2","GARFO ARTICULADO SECCIONADORA POS.02","10008522066","SIM","0","0"
"8861","ANA GABRIELA",NULL,"2129","4515242598-30",NULL,"7057","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15976667-3","GARFO ARTICULADO SECCIONADORA POS.3","10008522066","SIM","0","0"
"8862","ANA GABRIELA","045/24","2130","4515242598-40",NULL,"7058","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15975246","CALCO COLUNA MANDICULA 0MM","10008520128","SIM","0","0"
"8863","ANA GABRIELA",NULL,"2130","4515242598-40",NULL,"7059","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15975246-1","CALCO COLUNA MANDICULA 0MM POS.1","10008520128","SIM","0","0"
"8864","ANA GABRIELA",NULL,"2130","4515242598-40",NULL,"7060","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15975246-2","CALCO COLUNA MANDICULA 0MM POS.2","10008520128","SIM","0","0"
"8865","ANA GABRIELA","045/24","2131","4515242598-50",NULL,"7061","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15973874","MANCAL DA FACA","10008518305","SIM","0","0"
"8866","ANA GABRIELA","045/24","2132","4515242598-60",NULL,"7062","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972626","GARFO ARTICULACAO SECCIONADORA","10008515704","SIM","0","0"
"8867","ANA GABRIELA",NULL,"2132","4515242598-60",NULL,"7064","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972626-1","GARFO ARTICULADO SECCIONADORA POS.01","10008515704 FOLHA 02","SIM","0","0"
"8868","ANA GABRIELA",NULL,"2132","4515242598-60",NULL,"7065","WEG_ITAJAI","21",NULL,NULL,"2024-03-15",NULL,"15972626-2","GARFO ARTICULADO SECCIONADORA POS.02","10008515704 FOLHA 03","SIM","0","0"
"8869","ANA GABRIELA","1000/24","2132","4515242598-60",NULL,"7066","WEG_ITAJAI","42",NULL,NULL,"2024-03-15",NULL,"15972626-3","GARFO ARTICULADO SECCIONADORA POS.3","10008515704 FOLHA 04","SIM","0","0"
"8870","ANA GABRIELA","035/24","2142","4515331553","10","7071","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM","10011810034","SIM","0","0"
"8871","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7072","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-120","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.120","10003612259-50","SIM","0","0"
"8872","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7073","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-121","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.121","10003579250-263","SIM","0","0"
"8873","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7074","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-121-1","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.121-1","10003579250-263","SIM","0","0"
"8874","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7075","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-121-2","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.121-2","10003579250-263","SIM","0","0"
"8875","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7076","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-121-3","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.121-3","10003579250-263","SIM","0","0"
"8876","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7077","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-123","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.123","10003579250-351","SIM","0","0"
"8877","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7078","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-123-1","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.123-1","10003579250-351","SIM","0","0"
"8878","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7079","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-123-2","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.123-2","10003579250-351","SIM","0","0"
"8879","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7080","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-123-3","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.123-3","10003579250-351","SIM","0","0"
"8880","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7081","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-151","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.151","100011810034-151","SIM","0","0"
"8881","ANA GABRIELA",NULL,"7082","4515331553-10",NULL,"7082","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-152","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.152","100011810034-152","SIM","0","0"
"8882","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7083","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-154","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.154","100011810034-154","SIM","0","0"
"8883","ANA GABRIELA",NULL,"2042","4515258629-20",NULL,"7084","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-155","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.155","100011810034-155","SIM","0","0"
"8884","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7085","WEG_ITAJAI","2",NULL,NULL,"2024-03-01",NULL,"17729859-156","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.156","100011810034-156","SIM","0","0"
"8885","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7086","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-157","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.157","100011810034-157","SIM","0","0"
"8886","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7087","WEG_ITAJAI","4",NULL,NULL,"2024-03-01",NULL,"17729859-158","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.158","100011810034-158","SIM","0","0"
"8887","ANA GABRIELA",NULL,"2142","4515331553-10",NULL,"7088","WEG_ITAJAI","12",NULL,NULL,"2024-03-01",NULL,"17729859-159","CONJ FERRAGENS WSAV 245KV 3.150A 6.790MM POS.159","100011810034-159","SIM","0","0"
